# Database statistics for 'arrow_total' extracted on 2017-03-21 21:20:36 
#
#mach,alpha,config,Label,CA,CY,CN,CLL,CLM,CLN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,CLL_min,CLL_max,CLL_std,CLL_err,CLM_min,CLM_max,CLM_std,CLM_err,CLN_min,CLN_max,CLN_std,CLN_err,nOrders,nIter,nStats
0.5,0,poweroff,,0.914231415842,-0.000226156831683,0.0207169287129,2.15966254554e+178,-0.010343890099,1.19727782178e+175,0.91407,0.914255,3.92963524185e-05,1.18918542717e-05,-0.000226418,-0.000225634,1.88354630203e-07,5.81260456948e-08,0.0207055,0.0207194,3.39137918829e-06,1.04787876254e-06,-3.344e+179,2.66198e+179,inf,inf,-0.0103516,-0.010341,2.02134672049e-06,5.79017689841e-07,-1.12864e+177,1.37049e+177,inf,inf,5.02382008426,200,100
0.5,1,poweroff,,0.912925841584,-9.49613574257e-05,0.157239207921,-1.15450277228e+178,-0.105714108911,-8.78003168317e+174,0.912766,0.912949,3.89332337033e-05,1.1782840771e-05,-9.52163e-05,-9.3655e-05,3.03382760348e-07,8.88091963038e-08,0.157217,0.157244,6.91005413525e-06,2.14042653286e-06,-3.25049e+179,3.25049e+179,inf,inf,-0.105718,-0.105708,3.58462334931e-06,1.0899223335e-06,-1.12864e+177,1.20926e+177,inf,inf,4.73285424021,200,100
0.5,2,poweroff,,0.910313227723,-0.000184263237624,0.292386346535,-1.21580287129e+178,-0.198999554455,-9.01955524752e+175,0.910159,0.910336,3.76426346623e-05,1.13983410292e-05,-0.000184469,-0.000184099,1.06636715438e-07,3.26274749071e-08,0.292371,0.292389,3.99612595458e-06,1.2180003089e-06,-4.1276e+179,3.50846e+179,inf,inf,-0.199018,-0.198996,4.32692525117e-06,1.2891166674e-06,-1.28988e+177,1.04802e+177,inf,inf,5.05536930014,200,100
0.5,5,poweroff,,0.896643752475,-4.56650019802e-05,0.694601821782,9.19514950495e+177,-0.480986118812,-2.55420871287e+175,0.896479,0.896668,4.00151966035e-05,1.21084820119e-05,-4.88453e-05,-4.48096e-05,1.05545490779e-06,3.27532675063e-07,0.694568,0.694605,7.12184762935e-06,2.10028050931e-06,-3.92122e+179,4.95312e+179,inf,inf,-0.480998,-0.480983,4.76639874582e-06,1.48585742157e-06,-9.67407e+176,9.67407e+176,inf,inf,5.05257042607,200,100
0.5,10,poweroff,,0.855912663366,0.000737365534653,1.35752079208,-4.08675247525e+176,-0.949791,-1.43674257426e+175,0.855769,0.855936,3.62377400853e-05,1.10161092663e-05,0.000734866,0.000738033,9.28599035963e-07,2.89079565326e-07,1.35745,1.35753,1.64517397025e-05,4.9553451489e-06,-6.1914e+179,5.36588e+179,inf,inf,-0.949794,-0.949765,4.51619747177e-06,1.19818344352e-06,-7.25555e+176,8.06172e+176,inf,inf,4.91909850382,200,100
0.8,0,poweroff,,0.786465910891,-0.000148297128713,0.0147075762376,-1.29944710891e+177,-0.00975107168317,8.70028138614e+175,0.786421,0.786472,9.74841851595e-06,2.94851027999e-06,-0.000151158,-0.000147471,1.10828167474e-06,3.43745449813e-07,0.0146805,0.0147112,7.28862056942e-06,2.22455132866e-06,-3.6181e+179,4.55004e+179,inf,inf,-0.00975422,-0.00972525,6.5472133093e-06,1.98925542964e-06,-1.04802e+177,8.8679e+176,inf,inf,4.46623257841,200,100
0.8,1,poweroff,,0.785423029703,-5.50687039604e-05,0.153411881188,-4.13781623762e+177,-0.113338594059,3.43221742574e+175,0.785378,0.78543,9.80043992299e-06,2.96297950123e-06,-5.76531e-05,-5.44695e-05,8.39476123405e-07,2.5937800135e-07,0.153356,0.15342,1.51489548891e-05,4.63311370185e-06,-3.63745e+179,3.76644e+179,inf,inf,-0.113346,-0.113295,1.27746486401e-05,3.9346090676e-06,-8.06172e+176,8.8679e+176,inf,inf,4.49074841418,200,100
0.8,2,poweroff,,0.783475960396,-5.66088039604e-05,0.291758980198,1.28732079208e+178,-0.21800639604,3.43221762376e+175,0.783428,0.783483,1.01639245481e-05,3.05672444889e-06,-6.69201e-05,-5.19946e-05,3.46451418113e-06,1.06939499378e-06,0.2917,0.291766,1.29515320383e-05,3.81205617446e-06,-3.19889e+179,3.30208e+179,inf,inf,-0.218015,-0.217937,1.507412655e-05,4.43595235179e-06,-9.67407e+176,8.06172e+176,inf,inf,4.50369309022,200,100
0.8,5,poweroff,,0.77484480198,0.000156004366337,0.704974118812,-7.96913366337e+177,-0.534466346535,-1.79592653465e+175,0.774769,0.774854,1.69349482233e-05,5.10176537103e-06,0.000154987,0.000160213,1.119891435e-06,3.36267173377e-07,0.704881,0.704986,2.22885163917e-05,6.73761423239e-06,-5.77864e+179,5.57226e+179,inf,inf,-0.534485,-0.534325,3.40353443674e-05,1.03245569032e-05,-9.27098e+176,5.24012e+176,inf,inf,4.66748131394,200,100
0.8,10,poweroff,,0.751643722772,0.000938755782178,1.39443366337,-1.47122485149e+178,-1.07862742574,1.79592950495e+175,0.751546,0.751656,2.06666703559e-05,6.15322502577e-06,0.000936647,0.000945395,2.80856483066e-06,8.45161411668e-07,1.39436,1.39444,1.6514186657e-05,4.91350936268e-06,-7.01693e+179,7.42969e+179,inf,inf,-1.07865,-1.07843,4.80645907283e-05,1.45587236956e-05,-6.04629e+176,7.65864e+176,inf,inf,4.45552863175,200,100
0.95,0,poweroff,,1.00954990099,-0.000310178772277,0.0164556693069,-2.48430366337e+177,-0.013305090495,-9.25901188119e+175,1.00897,1.01168,0.000697197352701,0.000213797722945,-0.000350629,-0.000179456,5.19398779275e-05,1.56038019727e-05,0.0141904,0.0178709,0.000856922387944,0.000258833079581,-5.0418e+179,5.27559e+179,inf,inf,-0.0162249,-0.00631545,0.0021087364636,0.00063605157708,-2.25728e+177,1.61234e+177,inf,inf,2.55024958102,200,100
0.95,1,poweroff,,1.01050683168,-0.000409564643564,0.180949910891,-1.51720039604e+178,-0.169821257426,-4.46987524752e+175,1.01014,1.01084,0.000109190819375,2.08011804692e-05,-0.000443407,-0.000227144,4.23839864426e-05,1.00055076478e-05,0.17205,0.182401,0.00209603719971,0.000627340463606,-7.58447e+179,7.12012e+179,inf,inf,-0.17304,-0.148086,0.00505579525852,0.00151155310379,-1.93481e+177,1.77358e+177,inf,inf,2.57594068222,200,100
0.95,2,poweroff,,1.01027990099,-0.000439181168317,0.339323970297,3.31025306931e+178,-0.314529089109,5.26803267327e+175,1.00838,1.01058,0.000545807595029,0.000167302858716,-0.000467536,-0.000317627,3.22922592227e-05,9.04677197208e-06,0.326798,0.340371,0.0025302362409,0.000734992439619,-5.26269e+179,6.81054e+179,inf,inf,-0.316987,-0.285682,0.0059517775897,0.00174317483617,-2.57975e+177,1.93481e+177,inf,inf,2.53807418576,200,100
0.95,5,poweroff,,1.00439970297,-0.000188548136634,0.806446227723,-4.08644554455e+176,-0.728617772277,4.6294950495e+175,1.00197,1.00468,0.000619286487304,0.000189418675567,-0.000228025,-4.23815e-05,5.10838052035e-05,1.53853360222e-05,0.80329,0.806614,0.000449001375578,9.99071232557e-05,-5.98502e+179,9.49349e+179,inf,inf,-0.729707,-0.721428,0.00095314378084,0.000140779182086,-1.77358e+177,2.25728e+177,inf,inf,2.75039962021,200,100
0.95,10,poweroff,,0.987001118812,0.000219401851485,1.56930633663,1.59383188119e+178,-1.39908069307,4.46985841584e+175,0.986553,0.987079,0.000117781328441,3.55266147618e-05,0.000167767,0.00023006,8.28953337361e-06,1.98607053073e-06,1.56844,1.56959,0.000218562915573,6.23576795433e-05,-1.11445e+180,1.15573e+180,inf,inf,-1.39974,-1.39747,0.000375948325462,9.98208295888e-05,-1.61234e+177,1.45111e+177,inf,inf,3.07000693574,200,100
