# Database statistics for 'fuselage' extracted on 2017-03-21 21:20:37 
#
#mach,alpha,config,Label,CA,CY,CN,CLL,CLM,CLN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,CLL_min,CLL_max,CLL_std,CLL_err,CLM_min,CLM_max,CLM_std,CLM_err,CLN_min,CLN_max,CLN_std,CLN_err,nOrders,nIter,nStats
0.5,0,poweroff,,0.171556950495,-0.000186653192079,0.00749069207921,2.15966254554e+178,0.0159104089109,1.19727782178e+175,0.171556,0.171559,4.74628309475e-07,1.14537382023e-07,-0.0001869509,-0.0001860865,2.08459902207e-07,6.44422031516e-08,0.0074867,0.0074917,1.20909778722e-06,3.73301566305e-07,-3.344e+179,2.66198e+179,inf,inf,0.0159007,0.0159124,2.13750567181e-06,6.23390680548e-07,-1.12864e+177,1.37049e+177,inf,inf,5.02382008426,200,100
0.5,1,poweroff,,0.171171257426,-5.9423280198e-05,0.0875500019802,-1.15450277228e+178,0.0192710990099,-8.78003168317e+174,0.171171,0.171173,4.80376612701e-07,1.08271751981e-07,-5.96723e-05,-5.79076e-05,4.02925467893e-07,1.22455456108e-07,0.0875385,0.0875531,3.79833158262e-06,1.17820307046e-06,-3.25049e+179,3.25049e+179,inf,inf,0.019264,0.019276,2.49556021804e-06,7.11997608183e-07,-1.12864e+177,1.20926e+177,inf,inf,4.73285424021,200,100
0.5,2,poweroff,,0.170154831683,-9.44327920792e-05,0.166941039604,-1.21580287129e+178,0.0234171683168,-9.01955524752e+175,0.170154,0.170157,5.64095823099e-07,1.32044097048e-07,-9.464e-05,-9.42704e-05,1.05977290378e-07,3.23631452305e-08,0.166937,0.166942,1.08928891401e-06,3.25500376415e-07,-4.1276e+179,3.50846e+179,inf,inf,0.023392,0.023421,5.86661861711e-06,1.7569804205e-06,-1.28988e+177,1.04802e+177,inf,inf,5.05536930014,200,100
0.5,5,poweroff,,0.163416188119,5.95521891089e-05,0.401603514851,9.19514950495e+177,0.0341860693069,-2.55420871287e+175,0.163416,0.163418,4.60582310874e-07,1.06659446949e-07,5.70781e-05,6.02543e-05,8.10514395997e-07,2.51354563081e-07,0.401592,0.401605,2.35726751271e-06,6.70960594083e-07,-3.92122e+179,4.95312e+179,inf,inf,0.03416,0.03419,7.24706485585e-06,2.22541797165e-06,-9.67407e+176,9.67407e+176,inf,inf,5.05257042607,200,100
0.5,10,poweroff,,0.139814178218,0.000743824605644,0.790439732673,-4.08675247525e+176,0.0455758910891,-1.43674257426e+175,0.139814,0.139817,4.95445386258e-07,1.13277019588e-07,0.00074203469,0.00074505944,8.62252725432e-07,2.67709564565e-07,0.790416,0.790446,5.24808515598e-06,1.46779284697e-06,-6.1914e+179,5.36588e+179,inf,inf,0.045564,0.045579,3.89185743052e-06,1.20388809059e-06,-7.25555e+176,8.06172e+176,inf,inf,4.91909850382,200,100
0.8,0,poweroff,,0.202684168317,-1.89617623762e-05,0.00179457722772,-1.29944710891e+177,0.0151640435644,8.70028138614e+175,0.202667,0.202832,3.48203506295e-05,1.04800253193e-05,-2.208e-05,-1.8202e-05,1.18052900668e-06,3.68236122335e-07,0.0017796,0.0017965,3.90143109534e-06,1.18187382684e-06,-3.6181e+179,4.55004e+179,inf,inf,0.0151621,0.015183,4.20559306614e-06,1.25266057448e-06,-1.04802e+177,8.8679e+176,inf,inf,4.46623257841,200,100
0.8,1,poweroff,,0.202367762376,0.000121014252475,0.0815523386139,-4.13781623762e+177,0.0138617128713,3.43221742574e+175,0.202351,0.202506,3.27326852467e-05,9.84943130489e-06,0.0001171331,0.0001216137,1.03865492898e-06,3.18274732271e-07,0.0815151,0.0815579,9.85080757906e-06,3.00029010148e-06,-3.63745e+179,3.76644e+179,inf,inf,0.013857,0.013892,7.8239751281e-06,2.38643858268e-06,-8.06172e+176,8.8679e+176,inf,inf,4.49074841418,200,100
0.8,2,poweroff,,0.201482712871,0.000127768232673,0.160895029703,1.28732079208e+178,0.0113661683168,3.43221762376e+175,0.201468,0.201605,2.89178887503e-05,8.70941450329e-06,0.0001207897,0.0001305241,2.33565286428e-06,7.23626239643e-07,0.160862,0.1609,7.1385932629e-06,2.07649743177e-06,-3.19889e+179,3.30208e+179,inf,inf,0.011361,0.011409,9.67805449205e-06,2.8597393082e-06,-9.67407e+176,8.06172e+176,inf,inf,4.50369309022,200,100
0.8,5,poweroff,,0.195808346535,0.00030240650495,0.396394366337,-7.96913366337e+177,0.00339647524752,-1.79592653465e+175,0.195807,0.19582,2.54245396218e-06,7.38904728647e-07,0.000301801,0.000303673,5.16914199437e-07,1.58707625077e-07,0.396337,0.396403,1.47612838344e-05,4.4990384011e-06,-5.77864e+179,5.57226e+179,inf,inf,0.003381,0.003507,2.88432410736e-05,8.824101222e-06,-9.27098e+176,5.24012e+176,inf,inf,4.66748131394,200,100
0.8,10,poweroff,,0.177558415842,0.000946626227129,0.790771316832,-1.47122485149e+178,-0.0227066336634,1.79592950495e+175,0.177495,0.177567,1.54972161836e-05,4.6956067523e-06,0.00094375894,0.00095275011,2.47490946072e-06,7.2913564175e-07,0.790717,0.790777,1.22441585936e-05,3.60049639043e-06,-7.01693e+179,7.42969e+179,inf,inf,-0.02273,-0.02253,4.60365164514e-05,1.40347517764e-05,-6.04629e+176,7.65864e+176,inf,inf,4.45552863175,200,100
0.95,0,poweroff,,0.362038831683,-0.000109570990099,0.00330462277228,-2.48430366337e+177,0.0144834507921,-9.25901188119e+175,0.360336,0.362222,0.00039183503473,0.000116954005896,-0.000148675,-3.6125e-05,2.85665256524e-05,8.38432193349e-06,0.0017911,0.0040743,0.000516512612803,0.000155899323819,-5.0418e+179,5.27559e+179,inf,inf,0.0128992,0.01935475,0.00135572449108,0.00040895169793,-2.25728e+177,1.61234e+177,inf,inf,2.55024958102,200,100
0.95,1,poweroff,,0.36176450495,-0.000135442584158,0.0979510693069,-1.51720039604e+178,-0.0174644059406,-4.46987524752e+175,0.360105,0.36194,0.00037883705904,0.000112911191993,-0.000155964,2.8479e-05,3.2525677062e-05,8.48711373819e-06,0.0921527,0.0988233,0.00134222676905,0.00040078549371,-7.58447e+179,7.12012e+179,inf,inf,-0.019412,-0.003004,0.00329792081868,0.000983767791264,-1.93481e+177,1.77358e+177,inf,inf,2.57594068222,200,100
0.95,2,poweroff,,0.361020643564,-0.000140021544554,0.187575653465,3.31025306931e+178,-0.0402764356436,5.26803267327e+175,0.359478,0.361198,0.000376601545986,0.000113003536964,-0.000162369,7.482e-06,3.70058911926e-05,1.11058355802e-05,0.179669,0.188178,0.00158236893744,0.00045951361575,-5.26269e+179,6.81054e+179,inf,inf,-0.04177,-0.021669,0.0038243479543,0.00112463916607,-2.57975e+177,1.93481e+177,inf,inf,2.53807418576,200,100
0.95,5,poweroff,,0.356454168317,9.14671009901e-05,0.449564148515,-4.08644554455e+176,-0.0898817920792,4.6294950495e+175,0.355868,0.356508,0.000124563401432,3.66508521101e-05,4.7325e-05,0.0002688775,5.61727797037e-05,1.73392776371e-05,0.447361,0.449761,0.000398652417803,0.000112052339079,-5.98502e+179,9.49349e+179,inf,inf,-0.090109,-0.084764,0.000737141942843,0.000162384189837,-1.77358e+177,2.25728e+177,inf,inf,2.75039962021,200,100
0.95,10,poweroff,,0.341360742574,0.000357396425743,0.876447732673,1.59383188119e+178,-0.149815247525,4.46985841584e+175,0.341335,0.341376,8.42515500971e-06,2.34446683757e-06,0.000338425,0.000369854,4.66752109531e-06,9.91614643218e-07,0.875853,0.876534,0.000152918401271,4.53136275483e-05,-1.11445e+180,1.15573e+180,inf,inf,-0.15006,-0.14894,0.000189426409125,5.02197152718e-05,-1.61234e+177,1.45111e+177,inf,inf,3.07000693574,200,100
1.1,0,poweroff,,0.520516029703,1.13001009901e-05,-0.00539045079208,-1.81345485149e+177,0.0252783228713,-1.14939306931e+176,0.520016,0.520565,0.000107067523383,3.15809387617e-05,6.2769e-06,2.66132e-05,5.20795460643e-06,1.54354059039e-06,-0.00541591,-0.00514341,5.54104417847e-05,1.63641816446e-05,-4.34043e+179,4.83059e+179,inf,inf,0.02473812,0.02534011,0.000126362282938,3.76711544431e-05,-1.77358e+177,1.77358e+177,inf,inf,3.35837569189,200,100
1.1,1,poweroff,,0.520133683168,0.000191791623762,0.0657376257426,-4.87854210891e+178,0.0423584356436,-2.5542049505e+175,0.519496,0.520194,0.000134148279914,3.94898954365e-05,0.000182358,0.000202817,3.28309573437e-06,7.68312806707e-07,0.0654952,0.0658622,5.19978724878e-05,1.12505843589e-05,-4.48877e+179,3.79224e+179,inf,inf,0.0420879,0.0428003,0.000109310236659,2.51295507558e-05,-1.61234e+177,2.09605e+177,inf,inf,3.31609356028,200,100
