# Database statistics for 'cap' extracted on 2017-04-09 19:35:55 
#
#mach,alpha,beta,q,T,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.8,0,0,1250,475.33,bullet,,0.129321794843,0.000402513489098,0.000750250158451,0.129321794,0.129321796,4.14092393546e-10,7.71053515049e-11,0.000402513395,0.000402513507,2.71092596193e-11,9.46567087886e-12,0.000750250094,0.000750250378,6.96079536022e-11,2.48319982369e-11,6.78886594389,200,50
0.8,4,0,1250,475.33,bullet,,0.125989009,0.000572214328098,0.11157156402,0.125989009,0.125989009,2.77555756156e-17,0,0.000572214307,0.000572214414,2.71121526223e-11,9.77079109171e-12,0.111571564,0.111571565,1.38648388395e-10,1.85201081766e-11,6.88895058155,200,50
0.8,10,0,1250,475.33,bullet,,0.108366667412,0.000712834972863,0.281683448882,0.108366666,0.10836667,9.73702667561e-10,3.29567711818e-10,0.000712834946,0.000712835083,2.53307684003e-11,7.89227477675e-12,0.281683448,0.281683451,8.5513577925e-10,2.95161934943e-10,6.50839380308,200,50
0.95,0,0,1250,475.33,bullet,,0.29686755,0.00109367280176,0.00242744923588,0.29686755,0.29686755,0,0,0.0010936728,0.00109367281,3.8122003956e-12,1.28755813853e-12,0.00242744923,0.00242744924,4.92152954818e-12,1.69064675795e-12,7.7115410072,200,50
0.95,4,0,1250,475.33,bullet,,0.293829397,0.00119403801431,0.0932109378667,0.293829397,0.293829397,0,0,0.00119403801,0.00119403804,7.73454229196e-12,2.8631389169e-12,0.0932109378,0.0932109379,4.71404494375e-11,1.62161122472e-11,7.97921927812,200,50
0.95,10,0,1250,475.33,bullet,,0.277263594,0.00128597208,0.227590948,0.277263594,0.277263594,0,0,0.00128597208,0.00128597208,0,0,0.227590948,0.227590948,2.77555756156e-17,0,7.44613181378,200,50
0.95,30,0,1250,475.33,bullet,,0.135196692118,0.00123001468,0.66344593749,0.135196692,0.135196693,3.22189739539e-10,1.11120634666e-10,0.00123001444,0.00123001476,8.93549871326e-11,3.25170737642e-11,0.663445937,0.663445938,4.99903859743e-10,1.7174837776e-10,7.16120634899,200,50
1.1,0,0,1250,475.33,bullet,,0.461071791,0.00134954801176,0.0033157929,0.461071791,0.461071791,5.55111512313e-17,2.05657317186e-17,0.00134954801,0.00134954802,3.8122003956e-12,1.28755816885e-12,0.0033157929,0.0033157929,4.33680868994e-19,0,8.57378199102,200,50
1.1,4,0,1250,475.33,bullet,,0.458258658863,0.00136388560529,0.0849189951843,0.458258658,0.458258659,3.44116259856e-10,1.2964074824e-10,0.0013638856,0.00136388563,7.75935642858e-12,2.79238330679e-12,0.0849189951,0.0849189952,3.6367129317e-11,1.27864753534e-11,8.81583795041,200,50
1.1,10,0,1250,475.33,bullet,,0.4432058,0.00139584719,0.205318998,0.4432058,0.4432058,5.55111512313e-17,0,0.00139584719,0.00139584719,2.16840434497e-19,0,0.205318998,0.205318998,2.77555756156e-17,1.02828658593e-17,8.77438777496,200,50
